Player_ID,Name,Team,Opponent,Status,Price,Projection,SD,Floor,Ceiling,Position1,Position2,Projected_Ownership,Exposure,MIN,MAX
8002553,Lennox Hofmann,GEE,ADE,Not Named,6000,0.0,15.72,-15.7,31.4,DEF,,0,,0,0
8000162,Rory Laird,ADE,GEE,Start,14600,93.2,24.48674216,68.7,142.2,DEF,,10,,0,80
8001386,Mark Keane,ADE,GEE,Start,6630,49.0,19.3642658,29.6,87.7,DEF,,9,,0,80
8002273,Max Michalanney,ADE,GEE,Start,8560,59.7,16.01503333,43.7,91.7,DEF,,10,,0,80
8000139,Jack Martin,GEE,ADE,Not Named,8240,0.0,25.51848051,-25.5,51.0,FWD,,0,,0,0
8000168,Wayne Milera,ADE,GEE,Start,9720,64.1,20.66320906,43.4,105.4,DEF,,7,,0,80
8000171,Brodie Smith,ADE,GEE,Not Named,9050,0.0,23.19533012,-23.2,46.4,DEF,,0,,0,0
8000405,Mark Blicavs,GEE,ADE,Start,10890,68.7,22.60612645,46.1,113.9,DEF,RK,21,,0,80
8000409,Mitch Duncan,GEE,ADE,Not Named,10480,0.0,26.62447129,-26.6,53.2,DEF,,0,,0,0
8000412,Cameron Guthrie,GEE,ADE,Not Named,11310,0.0,26.35565011,-26.4,52.7,MID,,0,,0,0
8000416,Jake Kolodjashnij,GEE,ADE,Not Named,9120,0.0,17.02650166,-17.0,34.1,DEF,,0,,0,0
8000524,Ben Keays,ADE,GEE,Start,13500,84.6,27.92443555,56.7,140.4,FWD,,16,,0,80
8000532,Jed Bews,GEE,ADE,Not Named,6620,0.0,17.73071902,-17.7,35.5,DEF,,0,,0,0
8000777,Jack Henry,GEE,ADE,Not Named,9720,0.0,17.37817937,-17.4,34.8,DEF,,0,,0,0
8000786,Tom Stewart,GEE,ADE,Not Named,13710,0.0,25.76984822,-25.8,51.5,DEF,MID,0,,0,0
8000908,Darcy Fogarty,ADE,GEE,Start,8670,57.3,22.10599517,35.2,101.5,FWD,,10,,0,80
8000910,Lachlan Murphy,ADE,GEE,Not Named,7040,0.0,17.19676236,-17.2,34.4,FWD,,0,,0,0
8001364,Jordon Butts,ADE,GEE,Not Named,6650,0.0,15.36725195,-15.4,30.7,DEF,,0,,0,0
8001366,Chayce Jones,ADE,GEE,Not Named,9400,0.0,21.51223832,-21.5,43.0,MID,DEF,0,,0,0
8001370,Kieran Strachan,ADE,GEE,Not Named,8180,0.0,21.80869202,-21.8,43.6,RK,,0,,0,0
8001410,Chris Burgess,ADE,GEE,Not Named,6270,0.0,20.77240481,-20.8,41.5,FWD,RK,0,,0,0
8001502,Harry Schoenberg,ADE,GEE,Not Named,7890,0.0,23.34191099,-23.3,46.7,MID,,0,,0,0
8001503,Josh Worrell,ADE,GEE,Start,10730,70.7,17.80196568,52.9,106.3,DEF,,15,,0,80
8001530,Brad Close,GEE,ADE,Start,7560,51.3,18.15431916,33.1,87.6,FWD,,14,,0,80
8001720,Sam Berry,ADE,GEE,Not Named,10650,0.0,23.95446547,-24.0,47.9,MID,,0,,0,0
8001721,James Borlase,ADE,GEE,Not Named,6000,0.0,23.55100847,-23.6,47.1,DEF,,0,,0,0
8001724,Luke Pedlar,ADE,GEE,Not Named,6720,0.0,21.72886739,-21.7,43.5,FWD,,0,,0,0
8001737,Oliver Henry,GEE,ADE,Start,7390,49.4,21.06306533,28.3,91.5,FWD,,7,,0,80
8001755,Shannon Neale,GEE,ADE,Start,8080,55.2,16.25855405,38.9,87.7,FWD,RK,13,,0,80
8001765,Tanner Bruhn,GEE,ADE,Not Named,9880,0.0,24.9704394,-25.0,49.9,MID,,0,,0,0
8001807,Nick Murray,ADE,GEE,Not Named,7670,0.0,19.39626027,-19.4,38.8,DEF,,0,,0,0
8001828,Lachlan McAndrew,ADE,GEE,Not Named,6000,0.0,33.9411255,-33.9,67.9,RK,,0,,0,0
8001832,Josh Rachele,ADE,GEE,Not Named,10110,0.0,22.12441575,-22.1,44.2,FWD,,0,,0,0
8001834,Zac Taylor,ADE,GEE,Start,6270,0.0,30.80358926,-30.8,61.6,MID,,0,,0,0
8001857,Toby Conway,GEE,ADE,Not Named,10330,0.0,14.96217453,-15.0,29.9,RK,,0,,0,0
8001858,Oliver Dempsey,GEE,ADE,Start,11020,69.1,27.83607058,41.3,124.8,MID,FWD,20,,0,80
8002271,Hugh Bond,ADE,GEE,Not Named,6000,0.0,9.778499252,-9.8,19.6,DEF,,0,,0,0
8002272,Billy Dowling,ADE,GEE,Not Named,9950,0.0,15.43084933,-15.4,30.9,MID,FWD,0,,0,0
8002300,Jhye Clark,GEE,ADE,Not Named,8140,0.0,20.27919165,-20.3,40.6,MID,,0,,0,0
8002301,Ted Clohesy,GEE,ADE,Not Named,6360,0.0,24.92990172,-24.9,49.9,FWD,,0,,0,0
8002423,Charlie Edwards,ADE,GEE,Not Named,6000,0.0,20.52,-20.5,41.0,MID,DEF,0,,0,0
8002424,Karl Gallagher,ADE,GEE,Not Named,6000,0.0,13.84,-13.8,27.7,FWD,,0,,0,0
8002446,Mitchell Edwards,GEE,ADE,Not Named,6000,0.0,14.36,-14.4,28.7,RK,,0,,0,0
8002449,Shaun Mannagh,GEE,ADE,Start,12160,75.4,27.11253849,48.3,129.6,FWD,MID,23,,0,80
8002450,Connor O'Sullivan,GEE,ADE,Start,9000,56.4,23.33023789,33.1,103.1,DEF,,11,,0,80
8002451,George Stevens,GEE,ADE,Not Named,6000,0.0,20.56,-20.6,41.1,MID,,0,,0,0
8002452,Oliver Wiltshire,GEE,ADE,Not Named,6000,0.0,14.36,-14.4,28.7,FWD,MID,0,,0,0
8002509,Toby Murray,ADE,GEE,Not Named,6000,0.0,18.84,-18.8,37.7,RK,,0,,0,0
8002526,Sid Draper,ADE,GEE,Start,8390,55.6,7.93200269,47.7,71.5,MID,,15,,0,80
8002527,Tyler Welsh,ADE,GEE,Not Named,6000,0.0,15.2,-15.2,30.4,FWD,,0,,0,0
8002554,Xavier Ivisic,GEE,ADE,Not Named,6000,0.0,22.0,-22.0,44.0,MID,,0,,0,0
8002555,Keighton Matofai-Forbes,GEE,ADE,Not Named,6000,0.0,16.4,-16.4,32.8,FWD,,0,,0,0
8002556,Jacob Molier,GEE,ADE,Not Named,6000,0.0,17.24,-17.2,34.5,RK,,0,,0,0
8002557,Joe Pike,GEE,ADE,Not Named,6000,0.0,23.2,-23.2,46.4,RK,,0,,0,0
8002558,Jay Polkinghorne,GEE,ADE,Not Named,6000,0.0,17.92,-17.9,35.8,FWD,,0,,0,0
8002559,Patrick Retschko,GEE,ADE,Not Named,6000,0.0,16.48,-16.5,33.0,MID,,0,,0,0
